sido_code,sigungu_code,emd_code,week_type,velocity_AVRG_NRMLT,시도,시군구
11,11200,1120063,weekday,41.54,서울특별시,동작구
11,11130,1113065,weekday,42.65,서울특별시,서대문구
11,11040,1104073,weekday,48.94,서울특별시,성동구
11,11190,1119072,weekday,42.53,서울특별시,영등포구
11,11060,1106082,weekday,50.22,서울특별시,동대문구
11,11030,1103051,weekday,45.42,서울특별시,용산구
11,11050,1105055,weekday,72.28,서울특별시,광진구
11,11020,1102055,weekday,39.98,서울특별시,중구
11,11070,1107057,weekday,45.76,서울특별시,중랑구
11,11200,1120073,weekday,50.68,서울특별시,동작구
11,11040,1104067,weekday,54.79,서울특별시,성동구
11,11210,1121064,weekday,38.49,서울특별시,관악구
11,11140,1114063,weekday,41.96,서울특별시,마포구
11,11240,1124079,weekday,62.56,서울특별시,송파구
11,11030,1103053,weekday,41.95,서울특별시,용산구
11,11060,1106088,weekday,42.6,서울특별시,동대문구
11,11220,1122051,weekday,50.4,서울특별시,서초구
11,11130,1113075,weekday,51.79,서울특별시,서대문구
11,11240,1124058,weekday,47.11,서울특별시,송파구
11,11230,1123078,weekday,53.5,서울특별시,강남구
11,11170,1117070,weekday,44.54,서울특별시,구로구
11,11070,1107052,weekday,47.65,서울특별시,중랑구
11,11250,1125074,weekday,46.79,서울특별시,강동구
11,11080,1108084,weekday,44.71,서울특별시,성북구
11,11210,1121068,weekday,44.28,서울특별시,관악구
11,11180,1118059,weekday,64.23,서울특별시,금천구
11,11220,1122066,weekday,52.98,서울특별시,서초구
11,11130,1113052,weekday,46.95,서울특별시,서대문구
11,11170,1117056,weekday,39.86,서울특별시,구로구
11,11050,1105066,weekday,43.8,서울특별시,광진구
11,11080,1108058,weekday,40.74,서울특별시,성북구
11,11240,1124056,weekday,38.33,서울특별시,송파구
11,11230,1123064,weekday,43.8,서울특별시,강남구
11,11120,1112055,weekday,49.4,서울특별시,은평구
11,11190,1119074,weekday,46.12,서울특별시,영등포구
11,11140,1114069,weekday,49.77,서울특별시,마포구
11,11130,1113069,weekday,42.98,서울특별시,서대문구
11,11070,1107062,weekday,51.57,서울특별시,중랑구
11,11030,1103057,weekday,47.28,서울특별시,용산구
11,11110,1111064,weekday,37.09,서울특별시,노원구
11,11150,1115054,weekday,40.18,서울특별시,양천구
11,11060,1106084,weekday,39.39,서울특별시,동대문구
11,11030,1103069,weekday,50.97,서울특별시,용산구
11,11230,1123068,weekday,54.05,서울특별시,강남구
11,11060,1106091,weekday,40.62,서울특별시,동대문구
11,11030,1103058,weekday,36.49,서울특별시,용산구
11,11240,1124082,weekday,45.66,서울특별시,송파구
11,11160,1116071,weekday,68.32,서울특별시,강서구
11,11050,1105064,weekday,45.45,서울특별시,광진구
11,11190,1119063,weekday,39.3,서울특별시,영등포구
11,11110,1111073,weekday,40.66,서울특별시,노원구
11,11220,1122067,weekday,59.49,서울특별시,서초구
11,11150,1115060,weekday,46.29,서울특별시,양천구
11,11240,1124066,weekday,47.46,서울특별시,송파구
11,11080,1108059,weekday,38.89,서울특별시,성북구
11,11010,1101056,weekday,49.78,서울특별시,종로구
11,11120,1112074,weekday,44.35,서울특별시,은평구
11,11230,1123077,weekday,50.84,서울특별시,강남구
11,11100,1110052,weekday,39.99,서울특별시,도봉구
11,11080,1108077,weekday,44.16,서울특별시,성북구
11,11150,1115053,weekday,39.82,서울특별시,양천구
11,11010,1101054,weekday,36.85,서울특별시,종로구
11,11230,1123052,weekday,42.73,서울특별시,강남구
11,11210,1121083,weekday,41.33,서울특별시,관악구
11,11020,1102052,weekday,38.65,서울특별시,중구
11,11040,1104070,weekday,48.61,서울특별시,성동구
11,11240,1124062,weekday,42.21,서울특별시,송파구
11,11250,1125061,weekday,39.76,서울특별시,강동구
11,11150,1115051,weekday,44.15,서울특별시,양천구
11,11100,1110063,weekday,40.36,서울특별시,도봉구
11,11200,1120053,weekday,40.24,서울특별시,동작구
11,11210,1121063,weekday,65.41,서울특별시,관악구
11,11160,1116070,weekday,38.16,서울특별시,강서구
11,11100,1110059,weekday,39.66,서울특별시,도봉구
11,11050,1105057,weekday,57.4,서울특별시,광진구
11,11190,1119069,weekday,39.82,서울특별시,영등포구
11,11030,1103064,weekday,66.24,서울특별시,용산구
11,11230,1123060,weekday,40.16,서울특별시,강남구
11,11020,1102073,weekday,37.8,서울특별시,중구
11,11200,1120056,weekday,42.2,서울특별시,동작구
11,11040,1104069,weekday,64.98,서울특별시,성동구
11,11240,1124068,weekday,42.64,서울특별시,송파구
11,11110,1111076,weekday,39.2,서울특별시,노원구
11,11140,1114073,weekday,49.57,서울특별시,마포구
11,11090,1109064,weekday,39.29,서울특별시,강북구
11,11120,1112071,weekday,45.29,서울특별시,은평구
11,11140,1114066,weekday,44.34,서울특별시,마포구
11,11150,1115062,weekday,45.45,서울특별시,양천구
11,11160,1116074,weekday,40.64,서울특별시,강서구
11,11240,1124055,weekday,37.47,서울특별시,송파구
