sido_code,sigungu_code,emd_code,week_type,FRIN_CG,시도,시군구
23,23020,2302059,weekday,59.71,인천광역시,동구
23,23010,2301060,weekday,39.61,인천광역시,인천_중구
23,23060,2306056,weekday,71.05,인천광역시,부평구
23,23030,2303068,weekday,38.05,인천광역시,남구
23,23030,2303075,weekday,51.97,인천광역시,남구
23,23010,2301057,weekday,42.3,인천광역시,인천_중구
23,23060,2306059,weekday,40.95,인천광역시,부평구
23,23060,2306052,weekday,53.91,인천광역시,부평구
23,23080,2308078,weekday,25.6,인천광역시,서구
23,23080,2308065,weekday,25.45,인천광역시,서구
23,23040,2304064,weekday,25.52,인천광역시,연수구
23,23050,2305061,weekday,58.61,인천광역시,남동구
23,23080,2308058,weekday,33.86,인천광역시,서구
23,23080,2308079,weekday,26.42,인천광역시,서구
23,23050,2305062,weekday,84.92,인천광역시,남동구
23,23080,2308076,weekday,42.85,인천광역시,서구
23,23030,2303074,weekday,35.87,인천광역시,남구
23,23310,2331040,weekday,5.58,인천광역시,강화군
23,23050,2305052,weekday,42.08,인천광역시,남동구
23,23040,2304058,weekday,24.96,인천광역시,연수구
23,23010,2301061,weekday,43.96,인천광역시,인천_중구
