sido_code,sigungu_code,emd_code,week_type,velocity_AVRG,시도,시군구
11,11170,1117062,weekday,19.14,서울특별시,구로구
11,11040,1104066,weekday,31.38,서울특별시,성동구
11,11010,1101058,weekday,24.94,서울특별시,종로구
11,11200,1120054,weekday,20.99,서울특별시,동작구
11,11200,1120068,weekday,21.5,서울특별시,동작구
11,11050,1105060,weekday,25.36,서울특별시,광진구
11,11190,1119065,weekday,24.17,서울특별시,영등포구
11,11200,1120063,weekday,22.06,서울특별시,동작구
11,11130,1113065,weekday,20.02,서울특별시,서대문구
11,11040,1104073,weekday,23.64,서울특별시,성동구
11,11190,1119072,weekday,26.71,서울특별시,영등포구
11,11060,1106082,weekday,29.6,서울특별시,동대문구
11,11030,1103051,weekday,27.29,서울특별시,용산구
11,11050,1105055,weekday,30.16,서울특별시,광진구
11,11020,1102055,weekday,20.46,서울특별시,중구
11,11070,1107057,weekday,27.03,서울특별시,중랑구
11,11200,1120073,weekday,30.4,서울특별시,동작구
11,11040,1104067,weekday,25.66,서울특별시,성동구
11,11210,1121064,weekday,18.03,서울특별시,관악구
11,11140,1114063,weekday,23.39,서울특별시,마포구
11,11240,1124079,weekday,33.87,서울특별시,송파구
11,11030,1103053,weekday,20.89,서울특별시,용산구
11,11060,1106088,weekday,27.69,서울특별시,동대문구
11,11220,1122051,weekday,26.41,서울특별시,서초구
11,11130,1113075,weekday,23.22,서울특별시,서대문구
11,11240,1124058,weekday,26.44,서울특별시,송파구
11,11230,1123078,weekday,27.19,서울특별시,강남구
11,11170,1117070,weekday,27.09,서울특별시,구로구
11,11070,1107052,weekday,27.62,서울특별시,중랑구
11,11250,1125074,weekday,25.19,서울특별시,강동구
11,11080,1108084,weekday,25.15,서울특별시,성북구
11,11210,1121068,weekday,26.34,서울특별시,관악구
11,11180,1118059,weekday,28.38,서울특별시,금천구
11,11220,1122066,weekday,30.18,서울특별시,서초구
11,11130,1113052,weekday,24.5,서울특별시,서대문구
11,11170,1117056,weekday,23.88,서울특별시,구로구
11,11050,1105066,weekday,23.83,서울특별시,광진구
11,11080,1108058,weekday,24.81,서울특별시,성북구
11,11240,1124056,weekday,21.77,서울특별시,송파구
11,11240,1124066,weekday,28.85,서울특별시,송파구
11,11230,1123064,weekday,22.31,서울특별시,강남구
11,11190,1119074,weekday,25.12,서울특별시,영등포구
11,11140,1114069,weekday,27.99,서울특별시,마포구
11,11130,1113069,weekday,24.47,서울특별시,서대문구
11,11070,1107062,weekday,29.19,서울특별시,중랑구
11,11030,1103057,weekday,27.21,서울특별시,용산구
11,11110,1111064,weekday,19.62,서울특별시,노원구
11,11150,1115054,weekday,23.42,서울특별시,양천구
11,11060,1106084,weekday,23.39,서울특별시,동대문구
11,11030,1103069,weekday,33.31,서울특별시,용산구
11,11230,1123068,weekday,28.08,서울특별시,강남구
11,11060,1106091,weekday,24.58,서울특별시,동대문구
11,11030,1103058,weekday,25.51,서울특별시,용산구
11,11240,1124082,weekday,26.48,서울특별시,송파구
11,11160,1116071,weekday,37.38,서울특별시,강서구
11,11050,1105064,weekday,21.59,서울특별시,광진구
11,11190,1119063,weekday,25.26,서울특별시,영등포구
11,11110,1111073,weekday,21.56,서울특별시,노원구
11,11220,1122067,weekday,29.38,서울특별시,서초구
11,11150,1115060,weekday,30.31,서울특별시,양천구
11,11120,1112055,weekday,19.59,서울특별시,은평구
11,11080,1108059,weekday,21.75,서울특별시,성북구
11,11010,1101056,weekday,34.47,서울특별시,종로구
11,11120,1112074,weekday,24.57,서울특별시,은평구
11,11230,1123077,weekday,22.71,서울특별시,강남구
11,11100,1110052,weekday,20.66,서울특별시,도봉구
11,11080,1108077,weekday,24.15,서울특별시,성북구
11,11150,1115053,weekday,23.58,서울특별시,양천구
11,11010,1101054,weekday,24.67,서울특별시,종로구
11,11230,1123052,weekday,21.56,서울특별시,강남구
11,11210,1121083,weekday,22.86,서울특별시,관악구
11,11020,1102052,weekday,21.41,서울특별시,중구
11,11240,1124062,weekday,23.82,서울특별시,송파구
11,11250,1125061,weekday,21.45,서울특별시,강동구
11,11040,1104070,weekday,31.42,서울특별시,성동구
11,11150,1115051,weekday,29.2,서울특별시,양천구
11,11100,1110063,weekday,23.69,서울특별시,도봉구
11,11200,1120053,weekday,21.09,서울특별시,동작구
11,11210,1121063,weekday,35.72,서울특별시,관악구
11,11160,1116070,weekday,21.77,서울특별시,강서구
11,11100,1110059,weekday,25.19,서울특별시,도봉구
11,11050,1105057,weekday,29.88,서울특별시,광진구
11,11190,1119069,weekday,25.05,서울특별시,영등포구
11,11030,1103064,weekday,37.15,서울특별시,용산구
11,11230,1123060,weekday,23.26,서울특별시,강남구
11,11020,1102073,weekday,21.42,서울특별시,중구
11,11200,1120056,weekday,23.89,서울특별시,동작구
11,11040,1104069,weekday,37.41,서울특별시,성동구
11,11240,1124068,weekday,22.0,서울특별시,송파구
11,11110,1111076,weekday,24.72,서울특별시,노원구
11,11140,1114073,weekday,25.05,서울특별시,마포구
11,11090,1109064,weekday,20.81,서울특별시,강북구
11,11120,1112071,weekday,24.59,서울특별시,은평구
11,11140,1114066,weekday,20.56,서울특별시,마포구
11,11150,1115062,weekday,28.47,서울특별시,양천구
11,11160,1116074,weekday,22.26,서울특별시,강서구
11,11240,1124055,weekday,21.91,서울특별시,송파구
11,11060,1106071,weekday,19.63,서울특별시,동대문구
11,11210,1121057,weekday,22.07,서울특별시,관악구
11,11140,1114076,weekday,24.41,서울특별시,마포구
11,11110,1111059,weekday,29.14,서울특별시,노원구
11,11180,1118055,weekday,18.81,서울특별시,금천구
11,11240,1124054,weekday,18.16,서울특별시,송파구
11,11200,1120070,weekday,18.85,서울특별시,동작구
11,11220,1122061,weekday,24.75,서울특별시,서초구
11,11040,1104056,weekday,24.64,서울특별시,성동구
11,11070,1107055,weekday,33.22,서울특별시,중랑구
11,11170,1117054,weekday,20.2,서울특별시,구로구
11,11140,1114059,weekday,21.36,서울특별시,마포구
11,11150,1115064,weekday,19.64,서울특별시,양천구
