집계일자,콘존ID,DSRC차종유형구분코드,평균속도
20220201,0100CZE230,1,73.92
20220201,0100CZE230,2,76.69
20220201,0100CZE240,1,50.54
20220201,0100CZE240,2,50.18
20220201,0100CZE245,1,83.07
20220201,0100CZE245,2,97.11
20220201,0100CZE250,1,109.08
20220201,0100CZE250,2,103.86
20220201,0100CZE255,1,110.72
20220201,0100CZE255,2,106.31
20220201,0100CZE260,1,0
20220201,0100CZE260,2,0
20220201,0100CZE270,1,0
20220201,0100CZE270,2,0
20220201,0100CZE280,1,0
20220201,0100CZE280,2,0
20220201,0100CZE282,1,49.38
20220201,0100CZE282,2,0
20220201,0100CZE285,1,96.3
20220201,0100CZE285,2,93.8
20220201,0100CZE290,1,49.58
20220201,0100CZE290,2,0
20220201,0100CZE300,1,0
20220201,0100CZE300,2,0
20220201,0100CZS010,1,0
20220201,0100CZS010,2,0
20220201,0100CZS020,1,54.16
20220201,0100CZS020,2,0
20220201,0100CZS025,1,103.29
20220201,0100CZS025,2,89.6
20220201,0100CZS030,1,98.08
20220201,0100CZS030,2,98.82
20220201,0100CZS040,1,50.84
20220201,0100CZS040,2,0
20220201,0100CZS050,1,100.26
20220201,0100CZS050,2,76.95
20220201,0100CZS060,1,74.59
20220201,0100CZS060,2,59.34
20220201,0100CZS070,1,98.76
20220201,0100CZS070,2,91.85
20220201,0100CZS080,1,94.89
20220201,0100CZS080,2,85.62
20220201,0100CZS090,1,83.15
20220201,0100CZS090,2,85.58
20220201,0100CZS100,1,49.5
20220201,0100CZS100,2,49.16
20220201,0100CZS110,1,103.93
20220201,0100CZS110,2,97.9
20220201,0100CZS120,1,109.4
20220201,0100CZS120,2,102.3
20220201,0100CZS130,1,81.98
20220201,0100CZS130,2,90.99
20220201,0100CZS140,1,103.66
20220201,0100CZS140,2,97.45
20220201,0100CZS150,1,102.71
20220201,0100CZS150,2,100.96
20220201,0100CZS160,1,96.15
20220201,0100CZS160,2,95.61
20220201,0100CZS170,1,76.87
20220201,0100CZS170,2,90.14
20220201,0100CZS180,1,80.52
20220201,0100CZS180,2,97.93
20220201,0100CZS190,1,104.38
20220201,0100CZS190,2,98.58
20220201,0100CZS200,1,97.66
20220201,0100CZS200,2,93.01
20220201,0100CZS205,1,79.1
20220201,0100CZS205,2,81.07
20220201,0100CZS210,1,36.02
20220201,0100CZS210,2,0
20220201,0100CZS215,1,73.71
20220201,0100CZS215,2,70.55
20220201,0100CZS220,1,37.28
20220201,0100CZS220,2,0
20220201,0100CZS230,1,71.89
20220201,0100CZS230,2,74.48
20220201,0100CZS240,1,51.24
20220201,0100CZS240,2,0
20220201,0100CZS245,1,78.58
20220201,0100CZS245,2,86.16
20220201,0100CZS250,1,107.3
20220201,0100CZS250,2,104.16
20220201,0100CZS255,1,116.52
20220201,0100CZS255,2,113.27
20220201,0100CZS260,1,0
20220201,0100CZS260,2,0
20220201,0100CZS270,1,0
20220201,0100CZS270,2,0
20220201,0100CZS280,1,0
20220201,0100CZS280,2,0
20220201,0100CZS282,1,44.85
20220201,0100CZS282,2,0
20220201,0100CZS285,1,85.09
20220201,0100CZS285,2,90.55
20220201,0100CZS290,1,45.06
20220201,0100CZS290,2,0
20220201,0100CZS300,1,0
20220201,0100CZS300,2,0
20220201,0101CZE010,1,0
20220201,0101CZE010,2,0
20220201,0101CZE020,1,105.17
20220201,0101CZE020,2,99.78
20220201,0101CZE030,1,57.44
20220201,0101CZE030,2,0
20220201,0101CZE040,1,102.48
20220201,0101CZE040,2,102.84
20220201,0101CZE050,1,103.49
20220201,0101CZE050,2,102.46
20220201,0101CZE060,1,102.85
20220201,0101CZE060,2,104.81
20220201,0101CZE070,1,81.46
20220201,0101CZE070,2,94.27
20220201,0101CZE080,1,102.54
20220201,0101CZE080,2,97.85
20220201,0101CZE090,1,101.89
20220201,0101CZE090,2,86.94
20220201,0101CZE100,1,55.85
20220201,0101CZE100,2,0
20220201,0101CZE110,1,98.9
20220201,0101CZE110,2,82.67
20220201,0101CZE120,1,46.52
20220201,0101CZE120,2,0
20220201,0101CZE130,1,0
20220201,0101CZE130,2,0
20220201,0101CZS010,1,0
20220201,0101CZS010,2,0
20220201,0101CZS020,1,105.59
20220201,0101CZS020,2,95.96
20220201,0101CZS030,1,53.5
20220201,0101CZS030,2,0
20220201,0101CZS040,1,98.74
20220201,0101CZS040,2,92.72
20220201,0101CZS050,1,105.56
20220201,0101CZS050,2,98.45
20220201,0101CZS060,1,90.01
20220201,0101CZS060,2,95.39
20220201,0101CZS070,1,80.79
20220201,0101CZS070,2,93.99
20220201,0101CZS080,1,104.32
20220201,0101CZS080,2,98.78
20220201,0101CZS090,1,98.25
20220201,0101CZS090,2,76.63
20220201,0101CZS100,1,48.73
20220201,0101CZS100,2,0
20220201,0101CZS110,1,100.24
20220201,0101CZS110,2,71.52
20220201,0101CZS120,1,58.87
20220201,0101CZS120,2,0
20220201,0101CZS130,1,0
20220201,0101CZS130,2,0
20220201,0105CZE100,1,0
20220201,0105CZE100,2,0
20220201,0105CZE110,1,0
20220201,0105CZE110,2,0
20220201,0105CZE120,1,0
20220201,0105CZE120,2,0
20220201,0105CZE130,1,0
20220201,0105CZE130,2,0
20220201,0105CZS100,1,0
20220201,0105CZS100,2,0
20220201,0105CZS110,1,0
20220201,0105CZS110,2,0
20220201,0105CZS120,1,0
20220201,0105CZS120,2,0
20220201,0105CZS130,1,0
20220201,0105CZS130,2,0
20220201,0120CZE090,1,98.71
20220201,0120CZE090,2,93.57
20220201,0120CZE100,1,103.97
20220201,0120CZE100,2,99.17
20220201,0120CZE110,1,108.31
20220201,0120CZE110,2,101.5
20220201,0120CZE120,1,106.98
20220201,0120CZE120,2,100.64
20220201,0120CZE125,1,97.54
20220201,0120CZE125,2,88.72
20220201,0120CZE130,1,103.12
20220201,0120CZE130,2,95.54
20220201,0120CZE140,1,75.01
20220201,0120CZE140,2,83.13
20220201,0120CZE150,1,109.3
20220201,0120CZE150,2,99.24
20220201,0120CZE155,1,112.54
20220201,0120CZE155,2,100.52
20220201,0120CZE160,1,52.68
20220201,0120CZE160,2,0
20220201,0120CZE170,1,102.45
20220201,0120CZE170,2,89.7
20220201,0120CZE180,1,99.61
20220201,0120CZE180,2,90
20220201,0120CZE190,1,82.06
20220201,0120CZE190,2,70.84
20220201,0120CZE200,1,89.37
20220201,0120CZE200,2,79.22
20220201,0120CZE210,1,86.66
20220201,0120CZE210,2,78.06
20220201,0120CZE220,1,81.89
20220201,0120CZE220,2,85.6
20220201,0120CZE230,1,51.75
20220201,0120CZE230,2,0
20220201,0120CZS090,1,97.97
20220201,0120CZS090,2,88.89
20220201,0120CZS100,1,105.61
20220201,0120CZS100,2,95.53
20220201,0120CZS110,1,106.71
20220201,0120CZS110,2,95.73
20220201,0120CZS120,1,103.61
20220201,0120CZS120,2,96.87
20220201,0120CZS125,1,95.17
20220201,0120CZS125,2,84.42
20220201,0120CZS130,1,99.03
20220201,0120CZS130,2,97.34
20220201,0120CZS140,1,80.92
20220201,0120CZS140,2,81.05
20220201,0120CZS150,1,103.26
20220201,0120CZS150,2,91.9
20220201,0120CZS155,1,102.86
20220201,0120CZS155,2,89.95
20220201,0120CZS160,1,56.39
20220201,0120CZS160,2,0
20220201,0120CZS170,1,99.11
20220201,0120CZS170,2,94.05
20220201,0120CZS180,1,103.68
20220201,0120CZS180,2,94.46
20220201,0120CZS190,1,86.15
20220201,0120CZS190,2,81.06
20220201,0120CZS200,1,96.9
20220201,0120CZS200,2,89.71
20220201,0120CZS210,1,105.12
20220201,0120CZS210,2,95.28
20220201,0120CZS220,1,51.08
20220201,0120CZS220,2,0
20220201,0120CZS230,1,50.7
20220201,0120CZS230,2,0
20220201,0121CZE010,1,45.3
20220201,0121CZE010,2,0
20220201,0121CZE020,1,87.67
20220201,0121CZE020,2,103.96
20220201,0121CZE030,1,85.44
20220201,0121CZE030,2,94.65
20220201,0121CZE040,1,90.69
20220201,0121CZE040,2,92.91
20220201,0121CZE050,1,101.81
20220201,0121CZE050,2,98.14
20220201,0121CZE060,1,100.69
20220201,0121CZE060,2,97.58
20220201,0121CZE070,1,69.9
20220201,0121CZE070,2,81.89
20220201,0121CZE080,1,1.69
20220201,0121CZE080,2,0
20220201,0121CZS010,1,39.26
20220201,0121CZS010,2,0
20220201,0121CZS020,1,93.69
20220201,0121CZS020,2,0
20220201,0121CZS030,1,74.39
20220201,0121CZS030,2,85.41
20220201,0121CZS040,1,82.89
20220201,0121CZS040,2,98.67
20220201,0121CZS050,1,100.62
20220201,0121CZS050,2,95.68
20220201,0121CZS060,1,102.93
20220201,0121CZS060,2,101.26
20220201,0121CZS070,1,95.25
20220201,0121CZS070,2,90.79
20220201,0121CZS080,1,40.84
20220201,0121CZS080,2,0
20220201,0140CZE010,1,0
20220201,0140CZE010,2,0
20220201,0140CZE020,1,104.58
20220201,0140CZE020,2,99.47
20220201,0140CZE030,1,102.46
20220201,0140CZE030,2,93.16
20220201,0140CZE040,1,107.26
20220201,0140CZE040,2,91.2
20220201,0140CZE050,1,99.29
20220201,0140CZE050,2,89.36
20220201,0140CZE060,1,104.39
20220201,0140CZE060,2,93.97
20220201,0140CZS010,1,0
20220201,0140CZS010,2,0
20220201,0140CZS020,1,101
20220201,0140CZS020,2,88.75
20220201,0140CZS030,1,103.75
20220201,0140CZS030,2,69.53
20220201,0140CZS040,1,101.32
20220201,0140CZS040,2,70.27
20220201,0140CZS050,1,106.48
20220201,0140CZS050,2,90.64
20220201,0140CZS060,1,106.65
20220201,0140CZS060,2,80.67
20220201,0141CZE200,1,79.07
20220201,0141CZE200,2,11.93
20220201,0141CZE210,1,97.13
20220201,0141CZE210,2,105.39
20220201,0141CZE220,1,84.59
20220201,0141CZE220,2,0
20220201,0141CZS200,1,63.33
20220201,0141CZS200,2,12.7
20220201,0141CZS210,1,88.49
20220201,0141CZS210,2,92.51
20220201,0141CZS220,1,84.82
20220201,0141CZS220,2,84.26
20220201,0150CZE005,1,0
20220201,0150CZE005,2,0
20220201,0150CZE010,1,0
20220201,0150CZE010,2,0
20220201,0150CZE020,1,0
20220201,0150CZE020,2,0
20220201,0150CZE030,1,82.71
20220201,0150CZE030,2,75.04
20220201,0150CZE040,1,102.68
20220201,0150CZE040,2,94.26
20220201,0150CZE050,1,80.37
20220201,0150CZE050,2,92.56
20220201,0150CZE060,1,93.43
20220201,0150CZE060,2,97.3
20220201,0150CZE070,1,108.62
20220201,0150CZE070,2,99.52
20220201,0150CZE080,1,105.13
20220201,0150CZE080,2,96.59
20220201,0150CZE090,1,75.63
20220201,0150CZE090,2,76.44
20220201,0150CZE100,1,91.01
20220201,0150CZE100,2,82.89
20220201,0150CZE110,1,95.98
20220201,0150CZE110,2,87.92
20220201,0150CZE120,1,94.08
20220201,0150CZE120,2,88.08
