sido_code,sigungu_code,emd_code,week_type,velocity_CG_AVRG,시도,시군구
23,23060,2306063,weekday,14.34,인천광역시,부평구
23,23080,2308063,weekday,14.2,인천광역시,서구
23,23030,2303059,weekday,17.04,인천광역시,남구
23,23060,2306058,weekday,14.43,인천광역시,부평구
23,23060,2306051,weekday,13.87,인천광역시,부평구
23,23040,2304054,weekday,14.0,인천광역시,연수구
23,23060,2306060,weekday,14.25,인천광역시,부평구
23,23010,2301058,weekday,14.7,인천광역시,인천_중구
23,23060,2306069,weekday,19.86,인천광역시,부평구
23,23050,2305064,weekday,16.32,인천광역시,남동구
23,23010,2301060,weekday,17.56,인천광역시,인천_중구
23,23010,2301065,weekday,21.94,인천광역시,인천_중구
23,23310,2331041,weekday,19.31,인천광역시,강화군
23,23080,2308076,weekday,15.78,인천광역시,서구
23,23310,2331040,weekday,17.01,인천광역시,강화군
23,23060,2306055,weekday,13.77,인천광역시,부평구
23,23020,2302064,weekday,15.6,인천광역시,동구
23,23010,2301052,weekday,15.55,인천광역시,인천_중구
23,23070,2307058,weekday,19.84,인천광역시,계양구
23,23060,2306061,weekday,15.62,인천광역시,부평구
23,23010,2301053,weekday,17.54,인천광역시,인천_중구
23,23060,2306056,weekday,15.1,인천광역시,부평구
23,23050,2305055,weekday,13.78,인천광역시,남동구
23,23060,2306057,weekday,14.21,인천광역시,부평구
23,23050,2305062,weekday,14.68,인천광역시,남동구
23,23040,2304065,weekday,16.2,인천광역시,연수구
23,23010,2301056,weekday,16.64,인천광역시,인천_중구
23,23050,2305052,weekday,12.97,인천광역시,남동구
23,23080,2308073,weekday,16.92,인천광역시,서구
23,23050,2305053,weekday,12.98,인천광역시,남동구
23,23080,2308062,weekday,16.1,인천광역시,서구
23,23080,2308058,weekday,15.5,인천광역시,서구
23,23060,2306062,weekday,15.45,인천광역시,부평구
23,23050,2305073,weekday,14.22,인천광역시,남동구
23,23310,2331037,weekday,23.15,인천광역시,강화군
23,23030,2303067,weekday,16.31,인천광역시,남구
23,23050,2305063,weekday,15.52,인천광역시,남동구
23,23020,2302060,weekday,14.25,인천광역시,동구
23,23310,2331032,weekday,20.2,인천광역시,강화군
23,23080,2308078,weekday,14.43,인천광역시,서구
23,23040,2304064,weekday,15.5,인천광역시,연수구
23,23060,2306065,weekday,17.54,인천광역시,부평구
23,23080,2308053,weekday,14.51,인천광역시,서구
23,23040,2304053,weekday,13.98,인천광역시,연수구
23,23060,2306064,weekday,14.18,인천광역시,부평구
23,23030,2303069,weekday,14.41,인천광역시,남구
23,23030,2303062,weekday,15.94,인천광역시,남구
23,23040,2304063,weekday,19.32,인천광역시,연수구
23,23030,2303052,weekday,13.77,인천광역시,남구
23,23050,2305065,weekday,19.14,인천광역시,남동구
23,23080,2308065,weekday,14.59,인천광역시,서구
23,23050,2305058,weekday,14.98,인천광역시,남동구
23,23020,2302063,weekday,15.31,인천광역시,동구
23,23050,2305059,weekday,14.83,인천광역시,남동구
23,23040,2304055,weekday,13.75,인천광역시,연수구
23,23010,2301057,weekday,14.26,인천광역시,인천_중구
23,23080,2308060,weekday,18.29,인천광역시,서구
23,23030,2303068,weekday,12.87,인천광역시,남구
23,23070,2307051,weekday,14.25,인천광역시,계양구
23,23080,2308071,weekday,14.53,인천광역시,서구
23,23020,2302051,weekday,17.11,인천광역시,동구
23,23080,2308051,weekday,18.2,인천광역시,서구
23,23040,2304057,weekday,17.11,인천광역시,연수구
23,23020,2302059,weekday,14.94,인천광역시,동구
23,23080,2308074,weekday,13.18,인천광역시,서구
23,23070,2307063,weekday,22.92,인천광역시,계양구
23,23080,2308077,weekday,17.09,인천광역시,서구
23,23030,2303070,weekday,15.29,인천광역시,남구
23,23310,2331011,weekday,19.67,인천광역시,강화군
23,23030,2303072,weekday,13.23,인천광역시,남구
23,23070,2307064,weekday,24.46,인천광역시,계양구
23,23070,2307055,weekday,14.22,인천광역시,계양구
23,23010,2301064,weekday,18.71,인천광역시,인천_중구
23,23070,2307052,weekday,17.0,인천광역시,계양구
23,23320,2332037,weekday,17.53,인천광역시,옹진군
23,23040,2304058,weekday,15.28,인천광역시,연수구
23,23030,2303074,weekday,19.45,인천광역시,남구
23,23060,2306066,weekday,15.54,인천광역시,부평구
23,23060,2306068,weekday,14.63,인천광역시,부평구
23,23070,2307061,weekday,21.06,인천광역시,계양구
23,23070,2307053,weekday,14.04,인천광역시,계양구
23,23060,2306059,weekday,16.03,인천광역시,부평구
23,23070,2307057,weekday,14.69,인천광역시,계양구
23,23010,2301054,weekday,16.02,인천광역시,인천_중구
23,23020,2302058,weekday,14.96,인천광역시,동구
23,23020,2302057,weekday,15.34,인천광역시,동구
23,23030,2303054,weekday,15.52,인천광역시,남구
