sido_code,sigungu_code,emd_code,week_type,ALL_VKT,PSCR_VKT,BUS_VKT,FGCR_VKT,시도,시군구
11,11130,1113072,weekday,43849,36174,146,7528,서울특별시,서대문구
11,11030,1103051,weekday,94572,72424,469,21678,서울특별시,용산구
11,11230,1123067,weekday,144601,120809,1094,22698,서울특별시,강남구
11,11250,1125073,weekday,234535,187268,3149,44117,서울특별시,강동구
11,11230,1123079,weekday,586523,474894,8156,103473,서울특별시,강남구
11,11060,1106087,weekday,272920,211571,2421,58928,서울특별시,동대문구
11,11240,1124051,weekday,197020,153161,2758,41101,서울특별시,송파구
11,11240,1124064,weekday,132438,112889,866,18683,서울특별시,송파구
11,11070,1107071,weekday,50059,41298,284,8477,서울특별시,중랑구
11,11110,1111072,weekday,102258,79150,1229,21878,서울특별시,노원구
11,11030,1103074,weekday,1054253,833862,15475,204916,서울특별시,용산구
11,11040,1104062,weekday,337975,267452,3416,67107,서울특별시,성동구
11,11090,1109070,weekday,106899,90803,369,15727,서울특별시,강북구
11,11010,1101058,weekday,80473,63952,444,16077,서울특별시,종로구
11,11050,1105063,weekday,382416,299948,4815,77653,서울특별시,광진구
11,11170,1117069,weekday,152640,122081,874,29685,서울특별시,구로구
11,11240,1124067,weekday,92411,80819,358,11234,서울특별시,송파구
11,11020,1102057,weekday,120740,95126,797,24818,서울특별시,중구
11,11030,1103071,weekday,67252,50763,372,16117,서울특별시,용산구
11,11100,1110054,weekday,45832,39619,101,6112,서울특별시,도봉구
11,11120,1112072,weekday,72617,59730,279,12607,서울특별시,은평구
11,11100,1110064,weekday,107880,90769,409,16701,서울특별시,도봉구
11,11210,1121081,weekday,22711,17549,128,5035,서울특별시,관악구
11,11150,1115063,weekday,135277,107723,1113,26440,서울특별시,양천구
11,11160,1116066,weekday,61898,50080,344,11474,서울특별시,강서구
11,11010,1101056,weekday,438158,344403,2701,91054,서울특별시,종로구
11,11200,1120066,weekday,13325,10727,61,2537,서울특별시,동작구
11,11020,1102060,weekday,106810,82207,619,23984,서울특별시,중구
11,11140,1114075,weekday,73212,57591,900,14722,서울특별시,마포구
11,11130,1113068,weekday,322270,253565,3104,65602,서울특별시,서대문구
11,11030,1103059,weekday,16091,12467,77,3546,서울특별시,용산구
11,11250,1125053,weekday,64493,55427,195,8870,서울특별시,강동구
11,11190,1119075,weekday,105230,81752,566,22912,서울특별시,영등포구
11,11170,1117071,weekday,349585,262918,2508,84158,서울특별시,구로구
11,11050,1105064,weekday,50555,39830,289,10436,서울특별시,광진구
11,11120,1112060,weekday,46679,39174,133,7372,서울특별시,은평구
11,11230,1123072,weekday,44298,37747,225,6326,서울특별시,강남구
11,11080,1108063,weekday,428814,328942,3449,96423,서울특별시,성북구
11,11170,1117072,weekday,224187,174256,3038,46893,서울특별시,구로구
11,11120,1112074,weekday,109018,90185,388,18445,서울특별시,은평구
11,11170,1117052,weekday,288837,220949,2797,65091,서울특별시,구로구
11,11250,1125070,weekday,153975,128414,1200,24362,서울특별시,강동구
11,11020,1102065,weekday,33006,25822,183,7000,서울특별시,중구
11,11120,1112067,weekday,117574,94697,757,22120,서울특별시,은평구
11,11120,1112068,weekday,124803,101004,560,23239,서울특별시,은평구
11,11030,1103052,weekday,175839,140311,1407,34121,서울특별시,용산구
11,11160,1116057,weekday,82947,65436,699,16812,서울특별시,강서구
11,11190,1119056,weekday,694498,557796,7443,129259,서울특별시,영등포구
11,11070,1107065,weekday,120244,94391,2649,23204,서울특별시,중랑구
11,11120,1112055,weekday,44141,36824,163,7153,서울특별시,은평구
11,11230,1123064,weekday,378742,313638,3284,61820,서울특별시,강남구
11,11010,1101060,weekday,22752,17533,96,5123,서울특별시,종로구
11,11130,1113062,weekday,59165,46699,287,12179,서울특별시,서대문구
11,11230,1123059,weekday,151664,125778,1249,24638,서울특별시,강남구
11,11200,1120073,weekday,414579,335574,4218,74787,서울특별시,동작구
11,11130,1113071,weekday,79940,65342,381,14217,서울특별시,서대문구
11,11080,1108083,weekday,85802,68309,434,17059,서울특별시,성북구
11,11050,1105067,weekday,350790,277599,3524,69666,서울특별시,광진구
11,11080,1108081,weekday,116026,91318,493,24215,서울특별시,성북구
11,11100,1110051,weekday,41965,36348,79,5539,서울특별시,도봉구
11,11190,1119074,weekday,667695,532560,5751,129384,서울특별시,영등포구
11,11090,1109072,weekday,91408,78275,241,12892,서울특별시,강북구
11,11130,1113069,weekday,94091,75542,741,17808,서울특별시,서대문구
11,11150,1115065,weekday,109784,83414,900,25470,서울특별시,양천구
11,11090,1109074,weekday,82324,71823,133,10368,서울특별시,강북구
11,11040,1104072,weekday,55334,43300,369,11665,서울특별시,성동구
11,11210,1121071,weekday,52188,40731,320,11137,서울특별시,관악구
11,11040,1104059,weekday,43444,33792,214,9438,서울특별시,성동구
11,11220,1122058,weekday,398686,317968,6806,73911,서울특별시,서초구
11,11110,1111060,weekday,61658,51481,272,9905,서울특별시,노원구
11,11100,1110065,weekday,134046,114847,474,18725,서울특별시,도봉구
11,11160,1116055,weekday,51365,40482,334,10549,서울특별시,강서구
11,11220,1122062,weekday,81636,65891,440,15305,서울특별시,서초구
11,11170,1117068,weekday,406675,312943,2616,91116,서울특별시,구로구
11,11210,1121066,weekday,89125,69738,525,18862,서울특별시,관악구
11,11190,1119061,weekday,298226,234040,2993,61194,서울특별시,영등포구
11,11030,1103066,weekday,90298,71685,539,18073,서울특별시,용산구
11,11210,1121073,weekday,141570,112262,767,28541,서울특별시,관악구
11,11200,1120072,weekday,519472,415652,5449,98371,서울특별시,동작구
11,11080,1108059,weekday,18659,14575,73,4011,서울특별시,성북구
11,11030,1103058,weekday,25885,20292,145,5447,서울특별시,용산구
11,11250,1125063,weekday,64419,53979,309,10131,서울특별시,강동구
11,11190,1119076,weekday,343821,269542,2540,71739,서울특별시,영등포구
11,11250,1125072,weekday,37497,32394,111,4992,서울특별시,강동구
11,11110,1111077,weekday,385957,310323,3190,72444,서울특별시,노원구
11,11120,1112051,weekday,105073,86080,440,18554,서울특별시,은평구
11,11170,1117061,weekday,193204,143964,3627,45613,서울특별시,구로구
11,11170,1117054,weekday,174732,132438,922,41372,서울특별시,구로구
11,11030,1103065,weekday,63119,50438,656,12025,서울특별시,용산구
11,11070,1107052,weekday,107095,85517,869,20709,서울특별시,중랑구
11,11170,1117070,weekday,142590,111044,1007,30539,서울특별시,구로구
11,11250,1125051,weekday,875215,678341,23940,172934,서울특별시,강동구
11,11050,1105061,weekday,129854,102083,1190,26581,서울특별시,광진구
11,11240,1124053,weekday,282899,222824,7510,52565,서울특별시,송파구
11,11130,1113075,weekday,304571,245903,2256,56413,서울특별시,서대문구
11,11230,1123076,weekday,524564,437973,4928,81663,서울특별시,강남구
11,11150,1115053,weekday,54721,42804,360,11558,서울특별시,양천구
11,11190,1119068,weekday,108477,84906,567,23004,서울특별시,영등포구
11,11120,1112059,weekday,95937,78567,385,16985,서울특별시,은평구
11,11230,1123060,weekday,128879,108842,883,19153,서울특별시,강남구
11,11240,1124079,weekday,425165,343562,5577,76026,서울특별시,송파구
11,11140,1114076,weekday,405619,316553,9903,79163,서울특별시,마포구
11,11210,1121064,weekday,63675,49324,370,13982,서울특별시,관악구
11,11230,1123071,weekday,246170,200469,2142,43559,서울특별시,강남구
11,11050,1105066,weekday,124420,97502,894,26024,서울특별시,광진구
11,11210,1121082,weekday,181283,145040,1029,35215,서울특별시,관악구
11,11130,1113070,weekday,58142,47297,212,10633,서울특별시,서대문구
11,11060,1106080,weekday,138604,107054,750,30799,서울특별시,동대문구
11,11150,1115071,weekday,395018,306629,3509,84880,서울특별시,양천구
11,11100,1110052,weekday,36839,31591,110,5139,서울특별시,도봉구
11,11170,1117056,weekday,152373,115689,560,36124,서울특별시,구로구
11,11080,1108076,weekday,27926,23110,93,4723,서울특별시,성북구
11,11180,1118061,weekday,91958,70245,574,21139,서울특별시,금천구
11,11200,1120056,weekday,49330,39609,260,9461,서울특별시,동작구
11,11200,1120070,weekday,53629,41637,262,11730,서울특별시,동작구
11,11020,1102073,weekday,29349,22815,150,6384,서울특별시,중구
11,11150,1115070,weekday,164627,124018,1950,38659,서울특별시,양천구
11,11050,1105059,weekday,69440,53030,459,15952,서울특별시,광진구
11,11150,1115060,weekday,159699,127361,1410,30928,서울특별시,양천구
11,11040,1104068,weekday,83650,64532,427,18691,서울특별시,성동구
11,11010,1101067,weekday,53050,41833,322,10895,서울특별시,종로구
11,11140,1114066,weekday,243304,199095,1604,42604,서울특별시,마포구
11,11210,1121054,weekday,23284,18559,125,4600,서울특별시,관악구
11,11240,1124082,weekday,404876,323803,6683,74390,서울특별시,송파구
11,11220,1122061,weekday,132619,106282,1010,25326,서울특별시,서초구
11,11180,1118055,weekday,55051,41137,282,13632,서울특별시,금천구
11,11230,1123077,weekday,597201,472372,8966,115863,서울특별시,강남구
11,11110,1111079,weekday,351377,278522,3775,69080,서울특별시,노원구
11,11200,1120052,weekday,123423,98572,943,23908,서울특별시,동작구
11,11150,1115066,weekday,307360,244659,2832,59869,서울특별시,양천구
11,11080,1108077,weekday,185819,141060,2503,42257,서울특별시,성북구
11,11120,1112056,weekday,81873,68248,299,13327,서울특별시,은평구
11,11230,1123068,weekday,201136,162637,2522,35977,서울특별시,강남구
11,11240,1124061,weekday,99948,84900,702,14346,서울특별시,송파구
11,11240,1124062,weekday,118729,100247,782,17701,서울특별시,송파구
11,11090,1109062,weekday,144084,121455,569,22061,서울특별시,강북구
11,11240,1124054,weekday,19495,17387,60,2048,서울특별시,송파구
11,11230,1123052,weekday,303832,247460,2304,54069,서울특별시,강남구
11,11220,1122066,weekday,1023024,831662,18169,173193,서울특별시,서초구
11,11140,1114074,weekday,1065702,849084,14543,202075,서울특별시,마포구
11,11250,1125066,weekday,49237,41947,222,7068,서울특별시,강동구
11,11240,1124052,weekday,408489,324958,5554,77977,서울특별시,송파구
11,11210,1121065,weekday,20556,15470,110,4976,서울특별시,관악구
11,11240,1124069,weekday,808777,649965,13436,145377,서울특별시,송파구
11,11170,1117067,weekday,71187,56210,752,14226,서울특별시,구로구
11,11010,1101071,weekday,36785,29010,232,7543,서울특별시,종로구
11,11050,1105053,weekday,128116,99293,995,27828,서울특별시,광진구
11,11140,1114078,weekday,123589,96944,788,25857,서울특별시,마포구
11,11110,1111064,weekday,56050,46612,253,9185,서울특별시,노원구
11,11200,1120067,weekday,15783,12674,66,3043,서울특별시,동작구
11,11080,1108061,weekday,59879,47148,276,12455,서울특별시,성북구
11,11110,1111061,weekday,54813,45968,222,8623,서울특별시,노원구
11,11180,1118054,weekday,91344,68832,487,22026,서울특별시,금천구
11,11160,1116067,weekday,311669,248848,2196,60625,서울특별시,강서구
11,11070,1107068,weekday,29382,24147,180,5056,서울특별시,중랑구
11,11190,1119067,weekday,57598,45220,291,12087,서울특별시,영등포구
11,11230,1123051,weekday,470137,372967,7238,89932,서울특별시,강남구
11,11110,1111053,weekday,282482,227403,2074,53004,서울특별시,노원구
11,11140,1114069,weekday,266790,210876,4100,51813,서울특별시,마포구
11,11220,1122053,weekday,409433,332570,3007,73857,서울특별시,서초구
11,11040,1104054,weekday,243233,191901,1390,49942,서울특별시,성동구
11,11130,1113066,weekday,88458,71247,463,16747,서울특별시,서대문구
11,11070,1107062,weekday,271314,214719,4876,51718,서울특별시,중랑구
11,11220,1122067,weekday,1310110,996997,48774,264339,서울특별시,서초구
11,11120,1112066,weekday,58474,46719,1217,10538,서울특별시,은평구
11,11200,1120065,weekday,80523,64796,396,15330,서울특별시,동작구
11,11240,1124065,weekday,121372,104661,675,16035,서울특별시,송파구
11,11230,1123074,weekday,329912,261528,3997,64388,서울특별시,강남구
11,11030,1103057,weekday,213542,166535,3283,43725,서울특별시,용산구
11,11150,1115058,weekday,98180,77839,701,19639,서울특별시,양천구
11,11230,1123078,weekday,782394,620371,13373,148650,서울특별시,강남구
11,11070,1107054,weekday,136903,108702,1461,26741,서울특별시,중랑구
11,11130,1113074,weekday,52718,40608,328,11782,서울특별시,서대문구
11,11080,1108071,weekday,142155,115897,873,25385,서울특별시,성북구
11,11120,1112058,weekday,99442,81785,379,17278,서울특별시,은평구
11,11150,1115064,weekday,71590,55159,394,16037,서울특별시,양천구
11,11010,1101053,weekday,241666,190804,1392,49470,서울특별시,종로구
11,11020,1102069,weekday,78499,61041,411,17047,서울특별시,중구
11,11070,1107069,weekday,587894,454775,8811,124308,서울특별시,중랑구
11,11090,1109075,weekday,83897,71512,194,12191,서울특별시,강북구
11,11240,1124080,weekday,236283,195645,2446,38192,서울특별시,송파구
11,11070,1107072,weekday,55096,45160,348,9589,서울특별시,중랑구
11,11150,1115057,weekday,65410,51531,513,13366,서울특별시,양천구
11,11020,1102058,weekday,203760,162741,1237,39782,서울특별시,중구
11,11160,1116071,weekday,939500,733481,14873,191145,서울특별시,강서구
11,11200,1120071,weekday,604984,474061,12831,118092,서울특별시,동작구
11,11220,1122052,weekday,329877,257607,8991,63280,서울특별시,서초구
11,11080,1108082,weekday,54825,42768,259,11798,서울특별시,성북구
11,11070,1107060,weekday,125643,102307,776,22561,서울특별시,중랑구
11,11110,1111051,weekday,59301,50325,181,8795,서울특별시,노원구
11,11150,1115052,weekday,85657,65577,654,19426,서울특별시,양천구
11,11060,1106083,weekday,115108,87197,594,27317,서울특별시,동대문구
11,11210,1121083,weekday,80248,61493,485,18270,서울특별시,관악구
11,11210,1121069,weekday,128024,100526,789,26709,서울특별시,관악구
11,11040,1104070,weekday,273575,212065,4072,57438,서울특별시,성동구
11,11010,1101054,weekday,68407,53824,324,14259,서울특별시,종로구
11,11190,1119069,weekday,144367,113229,855,30283,서울특별시,영등포구
11,11020,1102052,weekday,222537,173628,1289,47619,서울특별시,중구
11,11160,1116065,weekday,407803,312840,12843,82120,서울특별시,강서구
11,11110,1111056,weekday,372499,292258,3848,76393,서울특별시,노원구
11,11060,1106090,weekday,179057,137410,1666,39981,서울특별시,동대문구
11,11250,1125061,weekday,42186,36749,124,5313,서울특별시,강동구
11,11160,1116072,weekday,262294,207719,7294,47280,서울특별시,강서구
11,11160,1116061,weekday,82343,65414,535,16394,서울특별시,강서구
11,11110,1111069,weekday,49062,41161,189,7712,서울특별시,노원구
11,11070,1107055,weekday,189465,151165,2662,35638,서울특별시,중랑구
11,11160,1116053,weekday,22526,17881,146,4499,서울특별시,강서구
11,11240,1124075,weekday,94256,81885,444,11927,서울특별시,송파구
11,11140,1114059,weekday,264152,208504,3360,52287,서울특별시,마포구
11,11190,1119072,weekday,121124,92955,667,27503,서울특별시,영등포구
11,11190,1119055,weekday,115611,91424,724,23464,서울특별시,영등포구
11,11160,1116074,weekday,72402,57375,429,14597,서울특별시,강서구
11,11090,1109073,weekday,47887,41254,118,6515,서울특별시,강북구
11,11240,1124055,weekday,22403,20477,58,1869,서울특별시,송파구
11,11190,1119071,weekday,77502,59178,410,17913,서울특별시,영등포구
11,11090,1109064,weekday,68844,58680,163,10002,서울특별시,강북구
11,11080,1108060,weekday,78182,60963,353,16866,서울특별시,성북구
11,11140,1114073,weekday,522154,425836,3444,92875,서울특별시,마포구
11,11080,1108072,weekday,260900,206780,1894,52225,서울특별시,성북구
11,11130,1113076,weekday,537361,424794,5257,107309,서울특별시,서대문구
11,11210,1121079,weekday,62837,49792,318,12727,서울특별시,관악구
11,11180,1118053,weekday,66270,49953,346,15971,서울특별시,금천구
11,11250,1125058,weekday,326295,245111,6675,74509,서울특별시,강동구
11,11010,1101073,weekday,66201,52893,338,12970,서울특별시,종로구
11,11050,1105054,weekday,147151,114456,1258,31438,서울특별시,광진구
11,11040,1104065,weekday,474599,369889,11229,93481,서울특별시,성동구
11,11150,1115054,weekday,68269,52830,420,15019,서울특별시,양천구
11,11200,1120053,weekday,197925,159519,1079,37327,서울특별시,동작구
11,11140,1114072,weekday,269379,215016,2181,52182,서울특별시,마포구
11,11120,1112073,weekday,52994,43861,165,8967,서울특별시,은평구
11,11150,1115061,weekday,47596,38098,298,9200,서울특별시,양천구
11,11190,1119054,weekday,1730189,1346522,14826,368841,서울특별시,영등포구
11,11040,1104069,weekday,447185,353369,5365,88451,서울특별시,성동구
11,11240,1124066,weekday,231679,193565,1655,36459,서울특별시,송파구
11,11110,1111065,weekday,612155,463301,10403,138451,서울특별시,노원구
11,11200,1120068,weekday,169723,134135,1029,34558,서울특별시,동작구
