sido_code,sigungu_code,emd_code,week_type,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT,시도,시군구
11,11200,1120071,weekday,34265,26850,727,6688,서울특별시,동작구
11,11200,1120067,weekday,3902,3133,16,752,서울특별시,동작구
11,11080,1108061,weekday,6730,5299,31,1400,서울특별시,성북구
11,11020,1102068,weekday,10045,7705,60,2280,서울특별시,중구
11,11250,1125053,weekday,9282,7977,28,1277,서울특별시,강동구
11,11210,1121066,weekday,15175,11874,89,3212,서울특별시,관악구
11,11220,1122053,weekday,18200,14784,134,3283,서울특별시,서초구
11,11040,1104054,weekday,16851,13295,96,3460,서울특별시,성동구
11,11100,1110051,weekday,6399,5542,12,845,서울특별시,도봉구
11,11220,1122052,weekday,22117,17272,603,4243,서울특별시,서초구
11,11070,1107072,weekday,7264,5954,46,1264,서울특별시,중랑구
11,11240,1124080,weekday,14518,12021,150,2347,서울특별시,송파구
11,11080,1108071,weekday,12406,10114,76,2215,서울특별시,성북구
11,11170,1117052,weekday,14872,11376,144,3351,서울특별시,구로구
11,11160,1116072,weekday,9731,7706,271,1754,서울특별시,강서구
11,11170,1117061,weekday,9765,7276,183,2305,서울특별시,구로구
11,11110,1111079,weekday,14427,11435,155,2836,서울특별시,노원구
11,11120,1112068,weekday,13335,10792,60,2483,서울특별시,은평구
11,11010,1101071,weekday,15188,11978,96,3114,서울특별시,종로구
11,11220,1122062,weekday,12760,10299,69,2392,서울특별시,서초구
11,11230,1123071,weekday,18695,15224,163,3308,서울특별시,강남구
11,11050,1105056,weekday,16649,12845,159,3645,서울특별시,광진구
11,11200,1120073,weekday,27899,22582,284,5033,서울특별시,동작구
11,11130,1113062,weekday,9357,7386,45,1926,서울특별시,서대문구
11,11250,1125070,weekday,16830,14036,131,2663,서울특별시,강동구
11,11060,1106081,weekday,12026,9468,73,2485,서울특별시,동대문구
11,11140,1114066,weekday,10774,8816,71,1887,서울특별시,마포구
11,11140,1114063,weekday,15301,12196,231,2875,서울특별시,마포구
11,11160,1116069,weekday,10189,8193,79,1917,서울특별시,강서구
11,11230,1123077,weekday,14963,11835,225,2903,서울특별시,강남구
11,11080,1108058,weekday,8280,6725,40,1515,서울특별시,성북구
11,11230,1123068,weekday,22169,17925,278,3965,서울특별시,강남구
11,11220,1122055,weekday,22422,17735,415,4271,서울특별시,서초구
11,11160,1116071,weekday,18710,14607,296,3807,서울특별시,강서구
11,11110,1111064,weekday,5707,4746,26,935,서울특별시,노원구
11,11140,1114077,weekday,8449,6574,53,1822,서울특별시,마포구
11,11080,1108083,weekday,8478,6750,43,1686,서울특별시,성북구
11,11070,1107062,weekday,18384,14549,330,3504,서울특별시,중랑구
11,11020,1102070,weekday,28851,22786,210,5855,서울특별시,중구
11,11050,1105061,weekday,14025,11025,129,2871,서울특별시,광진구
11,11010,1101061,weekday,13862,10939,83,2841,서울특별시,종로구
11,11030,1103065,weekday,8760,7000,91,1669,서울특별시,용산구
11,11190,1119068,weekday,12288,9618,64,2606,서울특별시,영등포구
11,11120,1112072,weekday,7999,6580,31,1389,서울특별시,은평구
11,11040,1104059,weekday,6734,5238,33,1463,서울특별시,성동구
11,11220,1122058,weekday,20257,16156,346,3755,서울특별시,서초구
11,11070,1107071,weekday,8522,7031,48,1443,서울특별시,중랑구
11,11250,1125059,weekday,17973,14191,252,3530,서울특별시,강동구
11,11140,1114059,weekday,16040,12661,204,3175,서울특별시,마포구
11,11130,1113066,weekday,7673,6180,40,1453,서울특별시,서대문구
11,11230,1123058,weekday,23887,19257,271,4359,서울특별시,강남구
11,11080,1108063,weekday,28481,21848,229,6404,서울특별시,성북구
11,11180,1118052,weekday,13074,9770,130,3174,서울특별시,금천구
11,11190,1119066,weekday,7453,5779,40,1634,서울특별시,영등포구
11,11230,1123066,weekday,15415,12613,122,2680,서울특별시,강남구
11,11220,1122054,weekday,14864,11686,402,2777,서울특별시,서초구
11,11040,1104069,weekday,33745,26665,405,6675,서울특별시,성동구
